|||FirstProcess||OTHER|0|
|Microsoft.PowerShell.Cim|CimInstanceAdapter|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|ThirdPartyAdapter|ctor|System.Type adaptedType,System.Management.Automation.PSPropertyAdapter externalAdapter|METHOD|1|FULL HAVOC
|System.Management.Automation|ManagementObjectAdapter|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|ManagementClassApdapter|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|DirectoryEntryAdapter|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|DataRowViewAdapter|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|DataRowAdapter|ctor||METHOD|1|FULL HAVOC
|System.Management.Automation|XmlNodeAdapter|ctor||METHOD|1|FULL HAVOC
|System|Object|ctor||METHOD|1|Fresh.{}.{}.{RV.?}.{}<EOF>
|System.Management.Automation|Diagnostics|Assert|bool condition,string whyThisShouldNeverHappen|METHOD|2|FULL HAVOC
|System.Management.Automation.Runspaces|LocalPipeline|GetExecutionContextFromTLS||METHOD|1|FULL HAVOC
|System.Management.Automation|PowerShell|Create|System.Management.Automation.Runspaces.InitialSessionState initialSessionState|METHOD|1|FULL HAVOC
|System.Management.Automation|PowerShell|AddCommand|string cmdlet|METHOD|1|FULL HAVOC
|System.Management.Automation|PowerShell|AddParameter|string parameterName,object value|METHOD|1|FULL HAVOC
|System.Management.Automation|PowerShell|Invoke||METHOD|1|FULL HAVOC
|System.Linq|Enumerable|FirstOrDefault|System.Collections.Generic.IEnumerable<System.Management.Automation.PSObject> source|METHOD|1|FULL HAVOC
|PSTests|CustomAssert|NotNull|object object|METHOD|2|Null.{}.{P}.{}.{}<EOF>
|System.Management.Automation|PSMemberInfoIntegratingCollection|ctor|object owner,System.Collections.ObjectModel.Collection<System.Management.Automation.CollectionEntry<System.Management.Automation.PSPropertyInfo>> collections|METHOD|1|FULL HAVOC
|System.Management.Automation|PSMemberInfoCollection|FirstOrDefault|System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC
|System|Enum|HasFlag|System.Enum flag|METHOD|3|Null.{}.{R;P}.{}.{}<EOF>
|System.Runtime.CompilerServices|ConditionalWeakTable|GetValue|object key,System.Runtime.CompilerServices.ConditionalWeakTable<object, System.Management.Automation.PSMemberInfoInternalCollection<System.Management.Automation.PSMemberInfo>>.CreateValueCallback createValueCallback|METHOD|1|FULL HAVOC
|System|WeakReference|TryGetTarget|System.Management.Automation.Runspaces.TypeTable target|METHOD|2|FULL HAVOC
|System.Runtime.CompilerServices|ConditionalWeakTable|TryGetValue|object key,System.Management.Automation.Runspaces.ConsolidatedString value|METHOD|1|FULL HAVOC
|System|Object|GetType||METHOD|1|Fresh.{}.{R}.{RV.?}.{}<EOF>
|System.Management.Automation.Runspaces|TypeTable|GetTypeAdapter|System.Type type|METHOD|1|FULL HAVOC
|System.Collections.Concurrent|ConcurrentDictionary|TryGetValue|System.Type key,System.Management.Automation.PSObject.AdapterSet value|METHOD|1|FULL HAVOC
|System|Func|Invoke|object arg|METHOD|1|FULL HAVOC
|System.Collections.Concurrent|ConcurrentDictionary|GetOrAdd|System.Type key,System.Management.Automation.PSObject.AdapterSet value|METHOD|1|FULL HAVOC
|System.Management.Automation|Adapter|BaseGetTypeNameHierarchy|object obj|METHOD|1|FULL HAVOC
|System.Management.Automation.Runspaces|TypeTable|GetFirstMemberOrDefault|System.Management.Automation.Runspaces.ConsolidatedString types,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC
|System.Management.Automation|Adapter|BaseGetFirstMemberOrDefault|object obj,System.Management.Automation.MemberNamePredicate predicate|METHOD|1|FULL HAVOC
